case,seed,route,status,elapsed_seconds,p0_pass,room_count_match,failure_labels,error_type,error
small,11,v4,completed,2.862,False,False,room_count_missing|room_count_extra|site_boundary_violation|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
small,11,block_cut,completed,1.3,True,True,,,
small,11,zoned,completed,2.078,True,True,exterior_contact_missing,,
small,42,v4,completed,1.81,False,False,room_count_missing|room_count_extra|site_boundary_violation|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
small,42,block_cut,completed,0.444,True,True,,,
small,42,zoned,completed,2.088,True,True,exterior_contact_missing,,
small,123,v4,completed,1.712,False,False,room_count_missing|room_count_extra|site_boundary_violation|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
small,123,block_cut,completed,0.443,True,True,,,
small,123,zoned,completed,2.048,True,True,exterior_contact_missing,,
medium,11,v4,completed,1.944,False,False,room_count_missing|room_count_extra|required_dining_room_missing|site_boundary_violation|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
medium,11,block_cut,completed,0.521,True,True,,,
medium,11,zoned,completed,10.109,True,True,exterior_contact_missing,,
medium,42,v4,completed,1.948,False,False,room_count_missing|room_count_extra|required_dining_room_missing|site_boundary_violation|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
medium,42,block_cut,completed,0.515,True,True,room_aspect_above_threshold,,
medium,42,zoned,completed,10.198,True,True,exterior_contact_missing,,
medium,123,v4,completed,2.092,False,False,room_count_missing|room_count_extra|required_dining_room_missing|invalid_room_geometry|site_boundary_violation|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
medium,123,block_cut,completed,0.481,True,True,,,
medium,123,zoned,completed,10.189,True,True,exterior_contact_missing,,
large,11,v4,completed,2.016,False,False,room_count_missing|room_count_extra|required_dining_room_missing|invalid_room_geometry|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
large,11,block_cut,completed,0.556,False,True,modulus_violation|room_aspect_above_threshold|exterior_contact_missing,,
large,11,zoned,completed,29.373,True,True,room_aspect_above_threshold|exterior_contact_missing,,
large,42,v4,completed,2.014,False,False,room_count_missing|room_count_extra|required_dining_room_missing|invalid_room_geometry|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
large,42,block_cut,completed,0.539,False,True,modulus_violation,,
large,42,zoned,completed,29.138,True,True,room_aspect_above_threshold|exterior_contact_missing,,
large,123,v4,completed,2.13,False,False,room_count_missing|room_count_extra|required_dining_room_missing|room_area_below_threshold|room_width_below_threshold|room_aspect_above_threshold|exterior_contact_missing,,
large,123,block_cut,completed,0.557,False,True,modulus_violation|exterior_contact_missing,,
large,123,zoned,completed,29.237,True,True,room_aspect_above_threshold|exterior_contact_missing,,
